# History of the drag coefficient for the 2D impulsively started
# cylinder at Re=40.
# Data digitized from Figure 10 of Li et al. (2016).
# Digitized using WebPlotDigitizer (2019/08/02, Olivier Mesnard).
# t, Cd
0.06666666666666676, 4.7407407407407405
0.07096774193548394, 4.490740740740741
0.07096774193548394, 4.25
0.08817204301075277, 4.037037037037037
0.09677419354838712, 3.8611111111111116
0.1010752688172043, 3.685185185185186
0.10967741935483888, 3.5277777777777786
0.11827956989247312, 3.398148148148149
0.1268817204301076, 3.2407407407407414
0.13978494623655924, 3.1388888888888893
0.1483870967741936, 3.00925925925926
0.16129032258064524, 2.916666666666668
0.1698924731182797, 2.8148148148148158
0.18709677419354842, 2.7222222222222237
0.19569892473118278, 2.63888888888889
0.20860215053763453, 2.5555555555555562
0.22580645161290325, 2.4722222222222237
0.2387096774193549, 2.4074074074074088
0.24731182795698936, 2.3518518518518534
0.2602150537634409, 2.2870370370370385
0.2774193548387097, 2.2222222222222237
0.29032258064516125, 2.166666666666668
0.3075268817204302, 2.120370370370372
0.3204301075268817, 2.064814814814816
0.33763440860215055, 2.0092592592592604
0.3505376344086021, 1.9629629629629641
0.37634408602150526, 1.9259259259259274
0.3892473118279569, 1.8796296296296315
0.40645161290322573, 1.8425925925925948
0.42795698924731174, 1.7962962962962976
0.44086021505376327, 1.7592592592592609
0.46666666666666656, 1.7314814814814832
0.4795698924731181, 1.694444444444446
0.5053763440860213, 1.6666666666666683
