# History of the drag coefficient for the 2D impulsively started
# cylinder at Re=40.
# Data digitized from Figure 10 of Li et al. (2016).
# Digitized using WebPlotDigitizer (2019/08/02, Olivier Mesnard).
# t, Cd
0.07956989247311841, 4.9907407407407405
0.08817204301075277, 4.888888888888889
0.08817204301075277, 4.777777777777778
0.09677419354838712, 4.657407407407407
0.09677419354838712, 4.518518518518519
0.10107526881720441, 4.388888888888889
0.10967741935483877, 4.231481481481482
0.11827956989247324, 4.046296296296297
0.1268817204301076, 3.8611111111111116
0.13978494623655924, 3.7129629629629637
0.15268817204301077, 3.518518518518519
0.1698924731182797, 3.370370370370371
0.18709677419354842, 3.222222222222223
0.20860215053763453, 3.055555555555557
0.2387096774193549, 2.8888888888888897
0.2860215053763441, 2.731481481481483
0.3290322580645162, 2.592592592592593
0.38064516129032255, 2.462962962962964
0.44946236559139785, 2.370370370370371
0.5397849462365589, 2.2777777777777795
0.6473118279569893, 2.2037037037037046
0.7290322580645162, 2.166666666666668
0.8279569892473114, 2.1388888888888897
0.9397849462365592, 2.1111111111111116
1.0602150537634407, 2.0833333333333357
1.1806451612903226, 2.064814814814817
1.2967741935483867, 2.055555555555557
1.3913978494623653, 2.037037037037039
1.481720430107527, 2.02777777777778
1.5978494623655917, 2.0185185185185204
1.7096774193548385, 2.000000000000002
1.817204301075269, 1.9907407407407427
1.9505376344086023, 1.9722222222222245
2.0709677419354837, 1.962962962962966
2.1698924731182796, 1.962962962962966
2.268817204301075, 1.9444444444444469
2.3720430107526878, 1.9351851851851873
2.496774193548387, 1.9166666666666692
2.587096774193548, 1.9166666666666683
2.6903225806451605, 1.9074074074074092
2.819354838709677, 1.888888888888892
2.948387096774193, 1.8796296296296329
3.0774193548387094, 1.8796296296296333
3.206451612903226, 1.8611111111111143
3.301075268817204, 1.8611111111111134
3.3698924731182784, 1.8611111111111134
3.481720430107527, 1.8611111111111143
